Date,Ticker,Ticker_name,Category,Close,day_pct_change,week_pct_change,month_pct_change,quarter_pct_change,Sharpe_Rank,Sharpe_Rank_daily_change,Sharpe_Rank_wtd_change,Sharpe_Rank_mtd_change,Sharpe_Rank_qtd_change,MM_Score,MM_Score_daily_change,MM_Score_wtd_change,MM_Score_mtd_change,MM_Score_qtd_change,st_trend,mt_trend,lt_trend,st_trend_change,mt_trend_change,lt_trend_change,Tape_Bias,Volatility_Spread_Quadrant
2026-02-09,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,226.62,-0.020487551867219955,-0.020487551867219955,-0.08184101774572561,-0.11899856159856936,0.2,0.0,0.0,-27.8,-60.3,34.0,60.0,60.0,-33.0,39.0,-0.04131413,-0.01081673,-0.00673029,-0.00280958,0.00019135,-0.01283953,Neutral,Crowded Short
2026-02-09,ADSK,"AUTODESK, INC.",Information Technology,242.53,0.008860232945091528,0.008860232945091528,-0.040890576185391714,-0.18066957197391975,14.5,-0.40000000000000036,-0.40000000000000036,6.8,6.0,33.0,2.0,2.0,27.0,24.0,-0.03874332,-0.04357171,-0.02170664,0.00105479,0.00380978,-0.01368523,Leaning Bullish,Crowded Short
2026-02-09,AEE,AMEREN ,Utilities,104.26,-0.00789799219716436,-0.00789799219716436,0.009488768396591851,0.04406168636090535,86.3,-9.5,-9.5,10.299999999999997,65.1,17.0,14.0,14.0,23.0,-30.0,0.0057009,0.01920581,0.04491484,-0.00312229,0.00058513,0.00260213,Bottoming,Mean Reversion Upside Bias
2026-02-09,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,121.1,0.002483443708609201,0.002483443708609201,0.011020203706795684,0.05021247073107271,72.8,-1.4000000000000057,-1.4000000000000057,0.7999999999999972,59.5,14.0,-8.0,-8.0,38.0,-37.0,0.01126028,0.00525231,0.04522164,-0.00163159,0.00127555,0.00499841,Neutral,Mean Reversion Upside Bias
2026-02-09,AES,THE AES ,Utilities,16.06,0.0006230529595014911,0.0006230529595014911,0.09624573378839574,0.11994421199442118,86.7,-1.0,-1.0,28.200000000000003,15.100000000000009,-53.0,-32.0,-32.0,-95.0,-28.0,0.03770511,0.03806182,-0.00635522,-0.00151951,-0.0097614,0.01843174,Leaning Bearish,Mean Reversion Downside Bias
2026-02-09,AFL,AFLAC INC.,Financials,113.2,-0.03371745625266753,-0.03371745625266753,0.020279405137449302,0.026571143556724408,77.6,-17.400000000000006,-17.400000000000006,22.199999999999996,16.499999999999993,-1.0,34.0,34.0,8.0,-3.0,0.02667546,0.01384371,0.04837589,0.00032319,-0.00354788,0.01126079,Neutral,Mean Reversion Downside Bias
2026-02-09,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,74.9,-0.02372262773722622,-0.02372262773722622,0.00026709401709412717,-0.12448860315604904,46.2,6.900000000000006,6.900000000000006,37.7,-47.599999999999994,-32.0,-44.0,-44.0,-59.0,49.0,0.01317799,-0.01449929,0.0170518,-0.00047092,0.00492448,0.00270182,Neutral,Crowded Long
2026-02-09,AIZ,"ASSURANT, INC.",Financials,235.32,-0.032838765361062006,-0.032838765361062006,-0.011800277159534689,-0.02296034876479136,38.3,-27.799999999999997,-27.799999999999997,0.3999999999999986,-61.5,-4.0,9.0,9.0,-12.0,49.0,0.00499832,0.00862381,0.02282828,-0.00566253,-0.00898848,-0.00113028,Sell,Crowded Short
2026-02-09,AJG,ARTHUR J. GALLAGHER & CO.,Financials,217.79,-0.09847669509065327,-0.09847669509065327,-0.12663913060913512,-0.15842961474554673,4.6,-8.3,-8.3,-30.9,-80.9,-38.0,-58.0,-58.0,-49.0,2.0,-0.04648377,-0.02370684,0.00595547,-0.02653372,-0.01890939,-0.00837849,Sell,Mean Reversion Downside Bias
2026-02-09,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,94.72,-0.003786285233487563,-0.003786285233487563,-0.02501286670097791,0.08561604584527216,75.2,-5.200000000000003,-5.200000000000003,-9.899999999999991,16.700000000000003,-33.0,4.0,4.0,10.0,-23.0,0.00293503,0.01688087,-0.02781157,-0.00307351,-0.0059713,0.00050096,Leaning Bearish,Crowded Short
2026-02-09,ALB,ALBEMARLE ,Materials,165.76,0.014629368917181695,0.014629368917181695,-0.028541288167379775,0.17194570135746612,40.7,-0.3999999999999986,-0.3999999999999986,-37.3,-34.099999999999994,43.0,-17.0,-17.0,45.0,34.0,-0.01873819,0.13057791,0.02078653,0.00458909,-0.02289794,0.00781091,Neutral,Crowded Short
2026-02-09,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,192.5,0.026119402985074647,0.026119402985074647,0.1807642765135251,0.23278898495036815,77.2,4.6000000000000085,4.6000000000000085,12.700000000000003,13.5,-64.0,-36.0,-36.0,-71.0,-54.0,0.01715817,0.03778856,-0.07059461,0.00781649,-0.00884392,-0.00075886,Leaning Bearish,Mean Reversion Downside Bias
2026-02-09,ALL,THE ALLSTATE ,Financials,199.94,-0.036665863647313945,-0.036665863647313945,0.004774109251721059,-0.0394427095844343,20.8,-21.499999999999996,-21.499999999999996,1.6000000000000014,-26.599999999999998,-25.0,-13.0,-13.0,-25.0,-20.0,0.0235511,0.00511589,0.02283474,-0.00059834,-0.01546859,-0.00674852,Leaning Bearish,Mean Reversion Downside Bias
2026-02-09,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,177.94,-0.010179674027924634,-0.010179674027924634,0.07588125037789473,0.11757316919984917,99.0,1.2000000000000028,1.2000000000000028,26.599999999999994,78.2,-43.0,-23.0,-23.0,-12.0,-83.0,0.02585554,-0.00802245,0.02816515,0.00248101,-0.02462971,4.942e-05,Neutral,Mean Reversion Upside Bias
2026-02-09,AMAT,"APPLIED MATERIALS, INC.",Information Technology,330.57,0.02499147313261596,0.02499147313261596,0.02559568131049894,0.2863146425930969,55.8,-8.700000000000003,-8.700000000000003,-26.10000000000001,26.599999999999998,36.0,34.0,34.0,89.0,49.0,-0.01116655,0.08614577,0.05833451,-0.0034865,0.02400955,-0.00841238,Leaning Bullish,Mean Reversion Downside Bias
2026-02-09,AMCR,AMCOR PLC,Materials,48.41,0.004982354162341496,0.004982354162341496,0.09401129943502817,0.16091127098321323,89.5,1.2000000000000028,1.2000000000000028,12.700000000000003,34.9,-21.0,14.0,14.0,16.0,-18.0,0.04404524,0.04992197,-0.00211922,0.02086179,0.00504446,0.01417452,Leaning Bullish,Mean Reversion Downside Bias
2026-02-09,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,216.0,0.03626943005181338,0.03626943005181338,-0.08756811557470534,0.008591707134852467,50.2,4.400000000000006,4.400000000000006,-9.899999999999999,1.6000000000000014,38.0,23.0,23.0,3.0,54.0,-0.0413414,-0.04274613,0.04928117,-0.00752149,0.00200549,-0.01048133,Neutral,Mean Reversion Downside Bias
2026-02-09,AME,"AMETEK, INC.",Industrials,233.41,0.0064680263895475765,0.0064680263895475765,0.04210197339048127,0.13686620232818658,99.0,0.0,0.0,2.799999999999997,15.700000000000003,-27.0,-8.0,-8.0,29.0,-3.0,0.02704355,0.0375539,0.01174939,-0.0002303,-0.00369614,-0.00284144,Neutral,Mean Reversion Upside Bias
2026-02-09,AMGN,AMGEN INC.,Health Care,375.82,-0.02211698584512911,-0.02211698584512911,0.09927459927459936,0.14820812074180445,91.9,-1.5999999999999943,-1.5999999999999943,29.800000000000004,67.9,-60.0,-10.0,-10.0,-49.0,-96.0,0.03873607,0.02389776,0.02598905,0.00328459,-0.01166778,0.00319409,Neutral,Mean Reversion Downside Bias
2026-02-09,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,539.11,-0.0071456196246707515,-0.0071456196246707515,0.022610444052428846,0.09946159807480526,75.2,-8.700000000000003,-8.700000000000003,-6.299999999999997,-17.89999999999999,-53.0,4.0,4.0,-21.0,-10.0,0.04062883,0.03952612,0.0016498,0.00018537,0.00053642,2.24e-06,Neutral,Mean Reversion Downside Bias
2026-02-09,AMT,AMERICAN TOWER ,Real Estate,173.71,0.014246511356337921,0.014246511356337921,-0.031068719321731386,-0.010594065045281043,72.2,12.5,12.5,4.900000000000006,18.0,-7.0,-42.0,-42.0,-13.0,-2.0,-0.01051428,-0.00533037,-0.02434441,-0.00590022,0.00182529,0.00703051,Neutral,Crowded Short
2026-02-09,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,208.72,-0.007607455306199995,-0.007607455306199995,-0.127789385708316,-0.09574560263408716,4.6,-1.2000000000000002,-1.2000000000000002,-55.9,-27.1,14.0,28.0,28.0,53.0,-15.0,-0.04327994,-0.02725366,0.01716958,-0.0092555,0.01008507,-0.01914546,Bottoming,Mean Reversion Downside Bias
2026-02-09,ANET,"ARISTA NETWORKS, INC.",Information Technology,141.74,0.03091133900647325,0.03091133900647325,0.0,0.08173700679233775,78.8,10.299999999999997,10.299999999999997,14.700000000000003,27.4,11.0,2.0,2.0,-9.0,14.0,0.01284727,-0.01009665,0.08738026,0.00087397,0.00418605,-0.0093028,Leaning Bullish,Crowded Short
2026-02-09,AON,AON PLC,Financials,310.34,-0.09267921880481833,-0.09267921880481833,-0.11240132707928163,-0.12055089548855136,5.8,-26.099999999999998,-26.099999999999998,-38.800000000000004,-65.8,-26.0,-29.0,-29.0,-15.0,7.0,-0.02076617,-0.0196663,0.00117371,-0.02548515,-0.01873625,-0.00511613,Sell,Mean Reversion Downside Bias
2026-02-09,AOS,A. O. SMITH ,Industrials,79.08,0.0012661433274245848,0.0012661433274245848,0.07606477071710449,0.1824162679425838,97.8,1.5999999999999943,1.5999999999999943,9.899999999999991,33.3,-70.0,-35.0,-35.0,-38.0,-60.0,0.03226049,0.02378321,0.01768084,0.00058267,-0.01055179,0.00455688,Topping,Mean Reversion Downside Bias
2026-02-09,APA,APA ,Energy,27.49,0.0010924981791695654,0.0010924981791695654,0.04089360090874661,0.12387571545380194,79.6,11.5,11.5,11.5,51.599999999999994,-45.0,-28.0,-28.0,-14.0,-26.0,0.0130817,0.02563862,-0.0573103,0.00172295,-0.00794585,0.00713481,Leaning Bearish,Mean Reversion Upside Bias
2026-02-09,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,286.37,0.01147923142130547,0.01147923142130547,0.050899082568807374,0.15929884219901225,88.3,1.2000000000000028,1.2000000000000028,-2.4000000000000057,44.099999999999994,3.0,0.0,0.0,30.0,-5.0,0.01881175,0.01355305,-0.00133265,0.00109341,0.0099684,0.02553949,Buy,Mean Reversion Downside Bias
2026-02-09,APH,AMPHENOL ,Information Technology,144.2,0.058504000587242144,0.058504000587242144,0.0008328706274289832,0.06704158650288594,30.4,6.0,6.0,-7.899999999999999,19.299999999999997,29.0,28.0,28.0,18.0,-25.0,-0.03268112,-0.00047708,0.09388076,-4.693e-05,0.00702232,-0.00669874,Neutral,Mean Reversion Downside Bias
2026-02-09,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,133.95,0.006915733293242132,0.006915733293242132,-0.0043853129180913,-0.07467532467532467,28.0,3.6000000000000014,3.6000000000000014,7.600000000000001,-65.5,4.0,59.0,59.0,-43.0,30.0,-0.04011526,-0.00850644,-0.00061033,0.0071415,-0.00160831,-0.01781984,Bottoming,Mean Reversion Downside Bias
2026-02-09,APP,APPLOVIN CORP,Information Technology,460.38,0.13193351691581423,0.13193351691581423,-0.026907061782672104,-0.31676115283013273,9.7,4.699999999999999,4.699999999999999,6.299999999999999,-36.5,0.0,0.0,0.0,13.0,-7.0,-0.12440337,-0.1035921,0.27802035,0.02748119,0.00248626,-0.0513359,Buy,Mean Reversion Downside Bias
2026-02-09,APTV,APTIV PLC,Consumer Discretionary,83.37,0.012017479970866773,0.012017479970866773,0.10059405940594068,0.09567617295308195,23.2,-3.6000000000000014,-3.6000000000000014,-14.7,-3.1999999999999993,27.0,0.0,0.0,26.0,-4.0,0.0016162,0.01872264,-0.02681934,0.02070036,0.00212071,0.00242986,Leaning Bullish,Mean Reversion Downside Bias
2026-02-09,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,56.2,0.005366726296959001,0.005366726296959001,0.0285505124450951,0.14834491213731105,66.7,-3.299999999999997,-3.299999999999997,-16.0,28.0,-33.0,0.0,0.0,35.0,-18.0,-0.00353299,0.01076705,-0.10582535,-0.00353589,-0.00081693,0.00152861,Leaning Bearish,Crowded Short
2026-02-09,ARES,ARES MANAGEMENT CORP,Financials,137.25,0.052046604323164214,0.052046604323164214,-0.08298256163559825,-0.1508383344676112,15.7,4.0,4.0,-6.699999999999999,-31.3,32.0,46.0,46.0,15.0,37.0,-0.11362246,-0.05808304,-0.01626696,0.00041969,-0.00319214,-0.02983345,Neutral,Mean Reversion Downside Bias
2026-02-09,ASC,ARDMORE SHIPPING ,MR Discretion,13.19,0.003805175038051667,0.003805175038051667,0.02089783281733748,0.24551463644948068,91.5,4.799999999999997,4.799999999999997,-4.299999999999997,87.7,-43.0,-36.0,-36.0,-41.0,-87.0,0.02898531,0.00687192,-0.03413621,-0.00023893,-0.00150152,-0.00148306,Neutral,Mean Reversion Upside Bias
2026-02-09,ATO,ATMOS ENERGY ,Utilities,171.46,0.0004667989263624772,0.0004667989263624772,0.030780329445713628,0.022847938913082455,69.6,3.0999999999999943,3.0999999999999943,42.39999999999999,49.199999999999996,7.0,-31.0,-31.0,-47.0,-44.0,0.01163541,-0.00266518,0.0583219,-0.00086972,-0.00422903,0.00024861,Leaning Bearish,Crowded Short
2026-02-09,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,173.46,-0.002128516366565081,-0.002128516366565081,-0.023695615466876707,-0.043296012354530844,41.9,12.299999999999997,12.299999999999997,-5.700000000000003,-26.6,-22.0,-43.0,-43.0,10.0,-10.0,-0.01092127,-0.00347573,-0.01889632,-0.00199528,0.00552654,-0.00071049,Neutral,Mean Reversion Downside Bias
2026-02-09,AVGO,BROADCOM INC.,Information Technology,343.94,0.033101045296167086,0.033101045296167086,0.038152731663145145,-0.006240970817682823,34.9,-2.200000000000003,-2.200000000000003,13.7,21.599999999999998,38.0,28.0,28.0,-2.0,4.0,-0.02365444,-0.01723512,0.10843341,0.00747364,0.01156198,-0.01308038,Buy,Crowded Short
2026-02-09,AVY,AVERY DENNISON ,Materials,189.46,-0.01070440185891064,-0.01070440185891064,0.02129265268718683,0.04167583021772603,55.4,-15.399999999999999,-15.399999999999999,-12.300000000000004,-38.800000000000004,15.0,10.0,10.0,27.0,58.0,0.00924604,0.02184183,-0.01510037,0.00098311,0.00212192,-0.00322259,Leaning Bullish,Crowded Short
2026-02-09,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,122.95,-0.011099493284002171,-0.011099493284002171,-0.04785874699914805,-0.057854406130268154,13.7,-0.40000000000000036,-0.40000000000000036,-19.400000000000002,-29.000000000000004,61.0,8.0,8.0,26.0,35.0,-0.01925104,-0.00438609,0.00819502,-0.00199584,0.00459143,0.00216303,Bottoming,Crowded Short
2026-02-09,AXON,"AXON ENTERPRISE, INC.",Industrials,433.77,0.047247706422018254,0.047247706422018254,-0.10300260556681418,-0.23622629549416296,4.6,1.7999999999999998,1.7999999999999998,-6.300000000000001,-68.2,0.0,0.0,0.0,-23.0,23.0,-0.14336303,-0.07381316,0.05127766,-0.00345719,0.00388678,-0.03205423,Bottoming,Crowded Short
2026-02-09,AXP,AMERICAN EXPRESS COMPANY,Financials,359.66,0.0014200194904636643,0.0014200194904636643,0.021268137547207244,-0.027814569536423694,23.6,6.300000000000001,6.300000000000001,2.400000000000002,-30.6,-34.0,-21.0,-21.0,-24.0,-18.0,-0.01053232,-0.01688794,0.03365777,-0.00385643,-0.00284916,-0.00768193,Leaning Bearish,Mean Reversion Downside Bias
2026-02-09,AZO,"AUTOZONE, INC.",Consumer Discretionary,3634.29,-0.012759218311121812,-0.012759218311121812,-0.018897008603538046,0.07158779301194151,67.3,-24.200000000000003,-24.200000000000003,-17.799999999999997,60.8,-7.0,7.0,7.0,33.0,-7.0,0.01757612,-0.00584657,0.025504,0.00013932,-0.00509486,-0.00639054,Neutral,Crowded Short
2026-02-09,BA,THE BOEING COMPANY,Industrials,244.71,0.006912726823848914,0.006912726823848914,0.047022077699811815,0.12707258658806198,66.9,-5.8999999999999915,-5.8999999999999915,-4.699999999999989,-2.6999999999999886,-41.0,-46.0,-46.0,-4.0,38.0,-0.00398141,0.02863069,-0.03571278,0.00090471,-0.00101864,0.00620761,Leaning Bearish,Crowded Short
2026-02-09,BAC,BANK OF AMERICA ,Financials,56.41,-0.002122766672563281,-0.002122766672563281,0.06033834586466158,0.02563636363636368,47.0,3.200000000000003,3.200000000000003,25.8,-20.299999999999997,-19.0,-17.0,-17.0,-46.0,1.0,0.02171745,0.01162309,0.02346391,0.00464272,-0.00238609,-0.00102572,Neutral,Crowded Short
2026-02-09,BALL,BALL ,Materials,66.65,0.002707988566270636,0.002707988566270636,0.17197116229998266,0.2582593921087408,93.8,-2.0,-2.0,3.5,-1.6000000000000085,-60.0,-30.0,-30.0,-34.0,-51.0,0.06425151,0.06686379,-0.00098195,0.00362086,-0.01643365,0.01440995,Leaning Bearish,Mean Reversion Downside Bias
2026-02-09,BAX,BAXTER INTERNATIONAL INC.,Health Care,21.73,0.0,0.0,0.08271051320378686,0.13710099424385147,69.0,-8.200000000000003,-8.200000000000003,-9.799999999999997,0.9000000000000057,-49.0,-37.0,-37.0,-37.0,-19.0,0.02312409,0.03036358,-0.09636784,0.00167544,-0.0081303,0.00156701,Leaning Bearish,Crowded Short
2026-02-09,BBY,"BEST BUY CO., INC.",Consumer Discretionary,67.08,-0.0472944184064763,-0.0472944184064763,0.03041474654377896,0.0022411474675032572,31.3,-18.099999999999998,-18.099999999999998,-13.7,29.5,-20.0,-27.0,-27.0,-12.0,0.0,-0.00272669,-0.03495199,-0.06057765,0.00246646,-0.00950172,-0.01140762,Topping,Mean Reversion Upside Bias
2026-02-09,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,207.39,-0.012522616893629324,-0.012522616893629324,0.01921564772950668,0.06863502859792847,68.1,-0.7000000000000028,-0.7000000000000028,-14.600000000000009,8.799999999999997,-41.0,-21.0,-21.0,-25.0,-21.0,0.00030088,0.01677518,-0.02823998,-0.00358706,-0.01499109,0.00315914,Leaning Bearish,Mean Reversion Upside Bias
2026-02-09,BEN,"FRANKLIN RESOURCES, INC.",Financials,27.68,0.01764705882352935,0.01764705882352935,0.03981968444778361,0.15864378401004608,72.4,2.8000000000000114,2.8000000000000114,-10.299999999999997,-11.099999999999994,-37.0,0.0,0.0,42.0,13.0,0.01627028,0.04672292,-0.02032992,-0.0011361,0.00603935,0.00650133,Neutral,Mean Reversion Downside Bias
2026-02-09,BF.B,BROWN-FORMAN ,Consumer Staples,29.48,0.0010186757215620013,0.0010186757215620013,0.07709170624771655,0.13123561013046814,93.8,-1.6000000000000085,-1.6000000000000085,17.39999999999999,83.7,-35.0,0.0,0.0,-32.0,-68.0,0.02485663,0.01890905,-0.089798,0.00407335,0.00029055,-0.00225969,Neutral,Crowded Short
2026-02-09,BG,BUNGE LIMITED,Consumer Staples,118.65,0.02408078715691353,0.02408078715691353,0.041886195995785025,0.3319488100583745,95.8,0.7999999999999972,0.7999999999999972,-2.0,92.39999999999999,-7.0,-10.0,-10.0,23.0,4.0,0.03801844,0.0489442,0.02206275,-0.00248428,0.00165818,0.00630393,Neutral,Mean Reversion Upside Bias
2026-02-09,BIIB,BIOGEN INC.,Health Care,193.81,-0.03663386022467441,-0.03663386022467441,0.07738062149091118,0.10125575316779356,54.6,-16.6,-16.6,1.2000000000000028,27.8,-33.0,-10.0,-10.0,-45.0,-29.0,0.04800078,0.05179479,-0.04024899,0.0142808,-0.00484352,0.0141145,Leaning Bearish,Mean Reversion Downside Bias
2026-02-09,BK,THE BANK OF NEW YORK MELLON ,Financials,127.61,0.02646396396396411,0.02646396396396411,0.06412608405603737,0.09923335343268147,69.6,23.799999999999997,23.799999999999997,25.39999999999999,13.099999999999994,-25.0,-41.0,-41.0,-33.0,-59.0,0.00294541,0.02389534,0.08098024,0.00560229,-0.00347203,-0.00097376,Bottoming,Mean Reversion Downside Bias
2026-02-09,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,4237.05,-0.049385596690276534,-0.049385596690276534,-0.1529017321625642,-0.20881626342354254,0.2,0.0,0.0,-6.3,-71.8,0.0,13.0,13.0,-20.0,63.0,-0.05340892,-0.02577367,-0.00510564,-0.00365544,0.00870376,-0.02013346,Bottoming,Crowded Short
2026-02-09,BKR,BAKER HUGHES COMPANY,Energy,59.55,0.010692464358452058,0.010692464358452058,0.06263383297644531,0.3076416337285901,95.4,2.700000000000003,2.700000000000003,-2.799999999999997,89.2,-37.0,-26.0,-26.0,14.0,-73.0,0.05112104,0.0408447,0.07249555,-0.00126051,0.00191015,0.0034613,Neutral,Mean Reversion Downside Bias
2026-02-09,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,124.3,-0.0009644751647645,-0.0009644751647645,0.08653846153846145,0.20808630576343656,57.3,-25.799999999999997,-25.799999999999997,-22.299999999999997,34.099999999999994,-54.0,3.0,3.0,25.0,-80.0,-0.00908507,0.0207378,-0.05532936,-0.00400181,0.01206007,-0.00558607,Neutral,Crowded Long
2026-02-09,BLK,"BLACKROCK, INC.",Financials,1079.9,0.022264715348643493,0.022264715348643493,-0.03489016390512445,0.008931741315843622,41.1,10.3,10.3,-22.999999999999993,-26.199999999999996,16.0,35.0,35.0,27.0,51.0,-0.02604809,-0.00376083,0.02122362,-0.00677982,0.00080314,-0.0013978,Bottoming,Mean Reversion Downside Bias
2026-02-09,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,60.77,-0.019680593644136102,-0.019680593644136102,0.1039055404178022,0.12662217278457555,86.3,-8.100000000000009,-8.100000000000009,22.200000000000003,-9.5,-53.0,-16.0,-16.0,-78.0,-8.0,0.03077038,0.05710123,0.01766759,0.00518338,-0.01176865,0.01085707,Leaning Bearish,Mean Reversion Downside Bias
2026-02-09,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,181.05,-0.004727612555659344,-0.004727612555659344,-0.0814773476738877,-0.18873504503293448,3.4,-2.0000000000000004,-2.0000000000000004,-2.8000000000000003,-25.8,1.0,43.0,43.0,1.0,11.0,-0.05747877,-0.03516262,-0.01495862,-0.00082587,0.01054539,-0.01719766,Bottoming,Mean Reversion Downside Bias
2026-02-09,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,498.08,-0.019701234033340564,-0.019701234033340564,0.036522173433500615,-0.009091813389038084,50.2,-17.5,-17.5,45.6,11.900000000000006,-14.0,-2.0,-2.0,-33.0,8.0,0.01291431,0.00744691,0.02991488,0.00099671,-0.00409885,-0.01528596,Neutral,Crowded Short
2026-02-09,BRO,"BROWN & BROWN, INC.",Financials,68.67,-0.06925996204933582,-0.06925996204933582,-0.04757281553398052,-0.13839397741530746,6.9,-12.299999999999999,-12.299999999999999,-8.4,-51.2,-79.0,-83.0,-83.0,-74.0,-58.0,-0.02859307,-0.01922434,-0.00264543,-0.00427443,-0.00104244,-0.01324651,Sell,Mean Reversion Downside Bias
2026-02-09,BSX,BOSTON SCIENTIFIC ,Health Care,74.12,-0.028189327389537056,-0.028189327389537056,-0.2075269966855554,-0.22265338227582576,7.7,-1.9999999999999991,-1.9999999999999991,-31.8,-13.100000000000001,0.0,6.0,6.0,18.0,-58.0,-0.0715634,-0.05108081,0.00603438,-0.00230508,0.03178972,-0.02736428,Bottoming,Mean Reversion Downside Bias
