Date,Ticker,Z-Score,Z-Score_avg,Z-Score_hi,Z-Score_lo
2025-12-04,BLK,-0.71,-0.83,-0.66,-0.99
2025-12-05,BLK,-0.94,-0.83,-0.66,-0.99
2025-12-04,BMY,-0.71,-0.77,-0.69,-0.85
2025-12-05,BMY,-0.83,-0.77,-0.69,-0.85
2025-12-04,BR,-0.7,-0.93,-0.61,-1.24
2025-12-05,BR,-1.15,-0.93,-0.61,-1.24
2025-12-04,BRK.B,0.71,0.85,1.04,0.65
2025-12-05,BRK.B,0.98,0.85,1.04,0.65
2025-12-04,BRO,-0.71,-0.71,-0.7,-0.71
2025-12-05,BRO,-0.7,-0.71,-0.7,-0.71
2025-12-04,BSX,-0.71,-0.65,-0.57,-0.73
2025-12-05,BSX,-0.59,-0.65,-0.57,-0.73
2025-12-04,BTC=F,0.71,0.85,1.04,0.65
2025-12-05,BTC=F,0.98,0.85,1.04,0.65
2025-12-04,BTI,0.71,0.77,0.87,0.68
2025-12-05,BTI,0.84,0.77,0.87,0.68
2025-12-04,BTU,0.71,0.81,0.95,0.67
2025-12-05,BTU,0.91,0.81,0.95,0.67
2025-12-04,BX,-0.71,-0.86,-0.65,-1.07
2025-12-05,BX,-1.01,-0.86,-0.65,-1.07
2025-12-04,BXP,-0.71,0.21,1.51,-1.09
2025-12-05,BXP,1.13,0.21,1.51,-1.09
2025-12-04,C,-0.71,-0.79,-0.68,-0.9
2025-12-05,C,-0.87,-0.79,-0.68,-0.9
2025-12-04,CAG,-0.71,-0.35,0.16,-0.86
2025-12-05,CAG,0.01,-0.35,0.16,-0.86
2025-12-04,CAH,0.71,0.59,0.76,0.41
2025-12-05,CAH,0.46,0.59,0.76,0.41
2025-12-04,CALM,0.71,-0.21,1.09,-1.52
2025-12-05,CALM,-1.14,-0.21,1.09,-1.52
2025-12-04,CANE,-0.71,-0.71,-0.71,-0.71
2025-12-05,CANE,-0.71,-0.71,-0.71,-0.71
2025-12-04,CARR,-0.71,-0.77,-0.68,-0.87
2025-12-05,CARR,-0.84,-0.77,-0.68,-0.87
2025-12-04,CAT,-0.71,0.19,1.45,-1.08
2025-12-05,CAT,1.08,0.19,1.45,-1.08
2025-12-04,CB,0.71,0.54,0.78,0.31
2025-12-05,CB,0.38,0.54,0.78,0.31
