Date,Ticker,daily_return_pct,daily_return_avg_pct,daily_return_hi_pct,daily_return_lo_pct
2025-12-04,AMZN,-0.0141,-0.0047,0.0034,-0.0127
2025-12-05,AMZN,0.0018,-0.0047,0.0034,-0.0127
2025-12-02,ANET,-0.0069,0.001,0.0067,-0.0048
2025-12-03,ANET,0.0046,0.001,0.0067,-0.0048
2025-12-04,ANET,0.0059,0.001,0.0067,-0.0048
2025-12-05,ANET,0.0003,0.001,0.0067,-0.0048
2025-12-02,AON,-0.0156,-0.0042,0.0062,-0.0147
2025-12-03,AON,-0.0036,-0.0042,0.0062,-0.0147
2025-12-04,AON,0.0095,-0.0042,0.0062,-0.0147
2025-12-05,AON,-0.0072,-0.0042,0.0062,-0.0147
2025-12-02,AOS,-0.0009,0.0076,0.0184,-0.0033
2025-12-03,AOS,0.0206,0.0076,0.0184,-0.0033
2025-12-04,AOS,-0.0018,0.0076,0.0184,-0.0033
2025-12-05,AOS,0.0124,0.0076,0.0184,-0.0033
2025-12-02,APA,0.0067,0.0178,0.0469,-0.0112
2025-12-03,APA,0.0589,0.0178,0.0469,-0.0112
2025-12-04,APA,-0.0089,0.0178,0.0469,-0.0112
2025-12-05,APA,0.0146,0.0178,0.0469,-0.0112
2025-12-02,APD,-0.0157,-0.0001,0.0125,-0.0127
2025-12-03,APD,0.0139,-0.0001,0.0125,-0.0127
2025-12-04,APD,0.0049,-0.0001,0.0125,-0.0127
2025-12-05,APD,-0.0036,-0.0001,0.0125,-0.0127
2025-12-02,APH,0.0163,0.0003,0.0156,-0.015
2025-12-03,APH,-0.0201,0.0003,0.0156,-0.015
2025-12-04,APH,0.0058,0.0003,0.0156,-0.015
2025-12-05,APH,-0.0007,0.0003,0.0156,-0.015
2025-12-02,APO,0.0053,0.0126,0.0186,0.0066
2025-12-03,APO,0.0183,0.0126,0.0186,0.0066
2025-12-04,APO,0.0167,0.0126,0.0186,0.0066
2025-12-05,APO,0.0101,0.0126,0.0186,0.0066
2025-12-02,APP,0.0472,0.0265,0.0431,0.0098
2025-12-03,APP,0.0141,0.0265,0.0431,0.0098
2025-12-04,APP,0.0326,0.0265,0.0431,0.0098
2025-12-05,APP,0.0119,0.0265,0.0431,0.0098
2025-12-02,APTV,0.007,-0.0018,0.0117,-0.0153
2025-12-03,APTV,0.0079,-0.0018,0.0117,-0.0153
2025-12-04,APTV,-0.0211,-0.0018,0.0117,-0.0153
2025-12-05,APTV,-0.0009,-0.0018,0.0117,-0.0153
2025-12-02,ARE,0.0137,-0.0371,0.0104,-0.0846
2025-12-03,ARE,-0.1005,-0.0371,0.0104,-0.0846
2025-12-04,ARE,-0.0378,-0.0371,0.0104,-0.0846
2025-12-05,ARE,-0.0238,-0.0371,0.0104,-0.0846
2025-12-02,ASC,0.0025,-0.0047,0.0113,-0.0208
2025-12-03,ASC,0.0132,-0.0047,0.0113,-0.0208
2025-12-04,ASC,-0.0237,-0.0047,0.0113,-0.0208
2025-12-05,ASC,-0.0109,-0.0047,0.0113,-0.0208
2025-12-02,ATO,-0.0096,-0.0006,0.0061,-0.0074
2025-12-03,ATO,0.0063,-0.0006,0.0061,-0.0074
2025-12-04,ATO,-0.0012,-0.0006,0.0061,-0.0074
2025-12-05,ATO,0.002,-0.0006,0.0061,-0.0074
2025-12-02,AVB,0.0082,-0.0022,0.0068,-0.0113
2025-12-03,AVB,0.0022,-0.0022,0.0068,-0.0113
2025-12-04,AVB,-0.0116,-0.0022,0.0068,-0.0113
2025-12-05,AVB,-0.0078,-0.0022,0.0068,-0.0113
2025-12-02,AVGO,-0.0117,0.0028,0.018,-0.0125
