Ticker,Date,Zscore,prem_disc
CNC,2025-10-15,-2.11,0.5682
CNC,2025-09-16,0.55,0.224
CNP,2025-10-15,0.23,0.5456
CNP,2025-09-16,-0.13,0.4516
CNR,2025-10-15,2.96,-0.0032
CNR,2025-09-16,-0.39,0.155
COF,2025-10-15,1.93,0.3047
COF,2025-09-16,-2.55,0.449
COIN,2025-10-15,1.77,0.1154
COIN,2025-09-16,-0.92,0.235
COO,2025-10-15,-0.61,0.1988
COO,2025-09-16,0.73,-0.4503
COP,2025-10-15,-0.06,0.2319
COP,2025-09-16,1.59,-0.0327
COR,2025-10-15,-0.86,0.1912
COR,2025-09-16,0.27,-0.0228
COST,2025-10-15,1.19,0.1475
COST,2025-09-16,0.31,0.4263
CPAY,2025-10-15,-0.07,0.4163
CPAY,2025-09-16,-0.55,-0.0586
CPB,2025-10-15,-0.98,-0.1502
CPB,2025-09-16,1.17,-0.1103
CPER,2025-10-15,1.93,0.0123
CPER,2025-09-16,-0.75,-0.11
CPRT,2025-10-15,-1.26,0.906
CPRT,2025-09-16,1.63,0.0202
CPT,2025-10-15,-1.75,0.8531
CPT,2025-09-16,-0.31,0.1419
CRESY,2025-10-15,0.16,2.9529
CRESY,2025-09-16,1.77,0.259
CRL,2025-10-15,0.57,0.0496
CRL,2025-09-16,-0.7,0.2432
CRM,2025-10-15,0.11,0.707
CRM,2025-09-16,-0.37,-0.0262
CRWD,2025-10-15,1.03,-0.2282
CRWD,2025-09-16,-0.84,0.3134
CSCO,2025-10-15,1.91,0.7661
CSCO,2025-09-16,-3.39,0.4092
CSGP,2025-10-15,0.33,0.813
CSGP,2025-09-16,-1.18,0.0162
CSX,2025-10-15,0.12,0.0833
CSX,2025-09-16,0.35,-0.016
CTAS,2025-10-15,1.13,0.292
CTAS,2025-09-16,-1.1,0.9272
CTRA,2025-10-15,1.58,0.3123
CTRA,2025-09-16,0.17,-0.5471
CTSH,2025-10-15,0.95,0.4431
CTSH,2025-09-16,-0.93,0.5149
CTVA,2025-10-15,0.66,-0.3027
CTVA,2025-09-16,2.88,0.0345
CVS,2025-10-15,-1.66,1.3758
CVS,2025-09-16,0.22,0.2035
CVX,2025-10-15,-0.67,0.6206
CVX,2025-09-16,1.24,-0.0424
D,2025-10-15,-2.74,0.4581
D,2025-09-16,0.1,-0.0042
DAL,2025-10-15,1.38,0.2453
DAL,2025-09-16,-1.88,0.5028
DASH,2025-10-15,1.66,0.6162
DASH,2025-09-16,-1.94,0.733
DAY,2025-10-15,-0.47,1.1219
DAY,2025-09-16,-1.51,-0.8653
DBB,2025-10-15,2.12,0.2115
DBB,2025-09-16,-2.28,1.2272
DD,2025-10-15,2.02,0.2101
DD,2025-09-16,-1.54,0.177
DDOG,2025-10-15,1.1,0.2607
DDOG,2025-09-16,-0.57,-0.0326
DE,2025-10-15,1.19,0.4877
DE,2025-09-16,-2.85,0.298
DECK,2025-10-15,1.9,0.8372
DECK,2025-09-16,-0.91,0.7064
DELL,2025-10-15,1.8,-0.1257
DELL,2025-09-16,0.52,-0.1431
DG,2025-10-15,1.82,-0.014
DG,2025-09-16,-0.2,0.2659
DGX,2025-10-15,0.89,0.1748
DGX,2025-09-16,0.03,0.0109
DHI,2025-10-15,1.08,0.1762
DHI,2025-09-16,-0.2,0.0107
DHR,2025-10-15,0.78,-0.0881
DHR,2025-09-16,-1.1,0.1849
DHT,2025-10-15,0.47,0.332
DHT,2025-09-16,0.87,-0.0326
DIA,2025-10-15,0.94,0.5589
DIA,2025-09-16,-0.72,0.3869
DIS,2025-10-15,-0.23,1.4942
DIS,2025-09-16,-1.57,0.6585
DJI,2025-10-15,1.02,
DJI,2025-09-16,-0.64,
DLR,2025-10-15,-0.93,0.4761
DLR,2025-09-16,1.69,-0.0997
DLTR,2025-10-15,0.38,-0.0801
DLTR,2025-09-16,1.14,-0.1109
DOC,2025-10-15,2.31,0.6961
DOC,2025-09-16,-0.7,0.6656
DOV,2025-10-15,-1.68,1.6514
DOV,2025-09-16,-1.23,0.097
DOW,2025-10-15,1.7,0.3803
DOW,2025-09-16,-0.83,0.518
DPZ,2025-10-15,2.16,0.0733
DPZ,2025-09-16,-0.64,0.5501
DRI,2025-10-15,0.79,-0.3861
DRI,2025-09-16,-1.39,1.9466
DTE,2025-10-15,-1.54,0.445
DTE,2025-09-16,-0.52,0.0145
DUK,2025-10-15,0.9,0.4937
DUK,2025-09-16,-1.09,0.389
DVA,2025-10-15,0.23,0.844
DVA,2025-09-16,-1.14,0.0618
DVN,2025-10-15,0.3,0.0569
DVN,2025-09-16,2.52,-0.2193
DXCM,2025-10-15,-0.32,0.3012
DXCM,2025-09-16,-0.47,-0.0321
EA,2025-10-15,0.65,-0.7642
EA,2025-09-16,-1.51,0.495
EBAY,2025-10-15,1.12,0.4815
EBAY,2025-09-16,-1.14,0.1594
EC,2025-10-15,1.47,0.7825
EC,2025-09-16,0.42,0.3874
ECH,2025-10-15,-0.28,0.5346
ECH,2025-09-16,2.1,-0.0542
ECL,2025-10-15,-0.21,0.4912
ECL,2025-09-16,0.16,0.1208
ED,2025-10-15,0.81,0.5274
ED,2025-09-16,-1.42,-0.0444
EDEN,2025-10-15,1.04,
EDEN,2025-09-16,-1.03,
EDV,2025-10-15,-0.87,-0.2001
EDV,2025-09-16,0.3,0.1472
EFNL,2025-10-15,-0.59,
EFNL,2025-09-16,-1.75,
EFX,2025-10-15,-0.59,0.1289
EFX,2025-09-16,0.89,-0.1258
EG,2025-10-15,-0.76,0.481
EG,2025-09-16,3.14,-0.0435
EIDO,2025-10-15,-1.05,0.1611
EIDO,2025-09-16,0.6,0.2614
EIRL,2025-10-15,0.86,
EIRL,2025-09-16,-1.78,
EIS,2025-10-15,1.72,
EIS,2025-09-16,-1.4,
EIX,2025-10-15,2.07,0.1374
EIX,2025-09-16,-0.23,0.3721
EL,2025-10-15,1.73,0.2587
EL,2025-09-16,-1.84,-0.1556
ELV,2025-10-15,-1.76,0.8687
ELV,2025-09-16,-0.7,0.3887
EME,2025-10-15,1.2,0.5225
EME,2025-09-16,-0.54,
EMN,2025-10-15,-0.69,0.5524
EMN,2025-09-16,-0.87,-0.0991
EMR,2025-10-15,-2.61,0.635
EMR,2025-09-16,2.11,-0.1835
ENZL,2025-10-15,0.32,1.4763
ENZL,2025-09-16,1.72,1.7779
EOG,2025-10-15,-1.55,0.6669
EOG,2025-09-16,1.67,0.123
EPAM,2025-10-15,-0.83,0.3837
EPAM,2025-09-16,0.17,-0.0427
EPHE,2025-10-15,1.22,
EPHE,2025-09-16,-1.03,
EPOL,2025-10-15,-1.13,1.6909
EPOL,2025-09-16,-0.71,0.9859
EPU,2025-10-15,2.11,
EPU,2025-09-16,-0.34,
EQIX,2025-10-15,-2.56,1.08
EQIX,2025-09-16,0.98,0.3722
EQR,2025-10-15,-1.61,0.9789
EQR,2025-09-16,-0.36,0.0258
EQT,2025-10-15,2.13,0.3885
EQT,2025-09-16,-0.33,0.1055
ERIE,2025-10-15,-1.98,0.6529
ERIE,2025-09-16,1.65,-0.1024
ES,2025-10-15,-1.14,-0.1142
ES,2025-09-16,1.41,-0.0941
ES=F,2025-10-15,2.08,
ES=F,2025-09-16,-1.18,
ESS,2025-10-15,-1.37,0.7872
ESS,2025-09-16,-0.67,0.0957
ETN,2025-10-15,-0.61,0.5246
ETN,2025-09-16,-0.51,0.1745
ETR,2025-10-15,-0.2,0.6901
ETR,2025-09-16,0.49,0.2131
EVRG,2025-10-15,-0.38,0.9504
EVRG,2025-09-16,-0.79,1.163
EW,2025-10-15,0.2,1.4912
EW,2025-09-16,-0.42,0.6273
EWA,2025-10-15,0.51,1.7926
EWA,2025-09-16,1.84,0.1387
EWC,2025-10-15,1.87,0.1982
EWC,2025-09-16,-0.85,0.1395
EWD,2025-10-15,-0.08,0.9875
EWD,2025-09-16,-1.56,-0.3462
EWG,2025-10-15,-0.14,0.4282
EWG,2025-09-16,-0.71,0.1398
EWH,2025-10-15,2.06,0.0676
EWH,2025-09-16,-1.07,0.3785
EWI,2025-10-15,1.27,0.5418
EWI,2025-09-16,-0.93,0.245
EWJ,2025-10-15,2.15,0.017
EWJ,2025-09-16,-0.87,0.0438
EWK,2025-10-15,0.62,1.0765
EWK,2025-09-16,-0.61,-0.0236
EWL,2025-10-15,-0.71,-0.1759
EWL,2025-09-16,-0.89,-0.3688
EWM,2025-10-15,2.01,1.1384
EWM,2025-09-16,-1.76,-0.1267
EWN,2025-10-15,0.92,0.4452
EWN,2025-09-16,1.92,-0.3866
EWO,2025-10-15,0.2,
EWO,2025-09-16,-2.19,
EWP,2025-10-15,0.29,1.1154
EWP,2025-09-16,-0.67,0.2155
EWQ,2025-10-15,1.12,0.3623
EWQ,2025-09-16,-0.99,-0.1259
EWS,2025-10-15,2.17,1.5845
EWS,2025-09-16,-2.12,0.204
EWT,2025-10-15,2.24,0.0153
EWT,2025-09-16,0.76,-0.0251
EWU,2025-10-15,1.26,0.0733
EWU,2025-09-16,0.26,1.4711
EWW,2025-10-15,1.78,0.6069
EWW,2025-09-16,-1.65,0.2616
EWY,2025-10-15,2.46,0.0221
EWY,2025-09-16,0.08,0.1416
EWZ,2025-10-15,1.13,0.1997
EWZ,2025-09-16,-1.32,0.2066
EXC,2025-10-15,0.11,0.7681
EXC,2025-09-16,-1.14,0.4862
EXE,2025-10-15,1.95,0.2457
EXE,2025-09-16,-0.64,0.3751
EXPD,2025-10-15,2.16,-0.0101
EXPD,2025-09-16,-1.59,0.7896
EXPE,2025-10-15,1.68,0.5902
EXPE,2025-09-16,-1.65,0.3517
EXR,2025-10-15,-1.27,0.5641
EXR,2025-09-16,-0.69,0.0015
F,2025-10-15,1.29,0.2028
F,2025-09-16,-0.07,0.1533
FANG,2025-10-15,-0.98,0.4718
FANG,2025-09-16,1.38,0.035
FAST,2025-10-15,2.13,-0.1747
FAST,2025-09-16,0.95,0.3507
FCX,2025-10-15,0.7,-0.3694
FCX,2025-09-16,0.06,0.1808
FDS,2025-10-15,-0.33,-0.1971
FDS,2025-09-16,2.09,0.2196
FDX,2025-10-15,1.39,0.1895
FDX,2025-09-16,-1.16,0.5609
FE,2025-10-15,0.14,0.9568
FE,2025-09-16,-0.71,0.5988
FFIV,2025-10-15,2.53,0.5756
FFIV,2025-09-16,-0.53,0.1006
FI,2025-10-15,0.56,1.4989
FI,2025-09-16,-0.25,0.6458
FICO,2025-10-15,1.18,-0.3343
FICO,2025-09-16,-0.51,0.0852
FIS,2025-10-15,-0.32,0.7087
FIS,2025-09-16,-1.24,0.1734
FITB,2025-10-15,2.07,0.115
FITB,2025-09-16,-0.7,0.575
FOXA,2025-10-15,-1.64,0.0433
FOXA,2025-09-16,0.26,-0.3392
FRO,2025-10-15,1.56,0.2383
FRO,2025-09-16,-1.26,0.0955
FRT,2025-10-15,-0.48,0.3084
FRT,2025-09-16,-0.54,0.0434
FSLR,2025-10-15,1.66,0.5551
FSLR,2025-09-16,-2.45,-0.0755
FTI,2025-10-15,-1.15,0.7028
FTI,2025-09-16,-0.13,0.2169
FTNT,2025-10-15,-0.07,0.9938
FTNT,2025-09-16,-1.47,-0.0956
FTV,2025-10-15,0.18,0.1219
FTV,2025-09-16,-0.93,0.1279
FVX,2025-10-15,0.59,
FVX,2025-09-16,-1.16,
FXA,2025-10-15,1.26,0.1176
FXA,2025-09-16,-0.38,-0.1817
FXB,2025-10-15,-0.2,0.3094
FXB,2025-09-16,-0.42,0.3239
FXC,2025-10-15,-2.09,0.9364
FXC,2025-09-16,1.8,1.5702
FXE,2025-10-15,-1.2,0.2697
FXE,2025-09-16,-0.79,0.111
FXY,2025-10-15,1.41,0.9534
FXY,2025-09-16,-0.87,0.5385
GD,2025-10-15,1.59,0.2321
GD,2025-09-16,-0.16,0.7159
GDDY,2025-10-15,0.17,0.5568
GDDY,2025-09-16,-1.54,0.2276
GDX,2025-10-15,2.02,0.1929
GDX,2025-09-16,-0.11,0.4042
GDXJ,2025-10-15,2.03,0.148
GDXJ,2025-09-16,1.88,0.3073
GE,2025-10-15,0.13,0.5922
GE,2025-09-16,-1.51,0.5216
GEHC,2025-10-15,-0.86,0.307
GEHC,2025-09-16,-0.03,-0.0559
GEN,2025-10-15,-1.24,1.5783
GEN,2025-09-16,-1.76,0.4164
GEOS,2025-10-15,-0.92,0.4057
GEOS,2025-09-16,-1.4,0.0811
GEV,2025-10-15,0.74,0.3539
GEV,2025-09-16,0.44,0.061
GGB,2025-10-15,-0.09,2.5821
GGB,2025-09-16,0.27,5.9387
GILD,2025-10-15,-1.37,0.7836
GILD,2025-09-16,-1.14,0.411
GIS,2025-10-15,1.17,-0.0298
GIS,2025-09-16,1.27,1.0188
GL,2025-10-15,1.39,0.5813
GL,2025-09-16,-0.78,0.6434
GLATF,2025-10-15,-1.53,
GLATF,2025-09-16,1.0,
GLD,2025-10-15,2.14,0.4866
GLD,2025-09-16,-1.46,0.4594
GLW,2025-10-15,2.12,0.4988
GLW,2025-09-16,-0.61,0.494
GM,2025-10-15,1.46,0.5975
GM,2025-09-16,-0.48,0.9395
GNK,2025-10-15,1.68,0.4409
GNK,2025-09-16,-1.51,0.1861
GNRC,2025-10-15,1.22,0.085
GNRC,2025-09-16,-0.76,0.2225
GOOGL,2025-10-15,-1.02,0.8539
GOOGL,2025-09-16,1.26,-0.1923
GPC,2025-10-15,-1.08,0.7687
GPC,2025-09-16,0.38,0.1213
GPN,2025-10-15,1.6,0.5321
GPN,2025-09-16,-1.54,0.4257
GREK,2025-10-15,-0.98,0.7525
GREK,2025-09-16,-0.99,0.1649
GRMN,2025-10-15,1.2,0.6015
GRMN,2025-09-16,-0.83,0.1293
GS,2025-10-15,0.48,0.4389
GS,2025-09-16,-0.5,0.3138
GWW,2025-10-15,-0.45,0.5173
GWW,2025-09-16,-0.91,-0.0037
HAL,2025-10-15,0.28,0.1719
HAL,2025-09-16,1.55,0.056
HAS,2025-10-15,1.16,0.4908
HAS,2025-09-16,2.5,0.0587
HBAN,2025-10-15,2.07,0.0603
HBAN,2025-09-16,-1.35,0.5811
HCA,2025-10-15,-1.59,0.8775
HCA,2025-09-16,0.96,0.0565
HD,2025-10-15,-0.14,0.8285
HD,2025-09-16,-1.12,-0.1165
HIG,2025-10-15,1.17,0.5021
HIG,2025-09-16,-0.18,0.1662
HII,2025-10-15,1.69,0.7883
HII,2025-09-16,-0.81,0.7011
HLT,2025-10-15,-0.92,0.8849
HLT,2025-09-16,-0.56,0.1111
HLX,2025-10-15,1.47,0.011
HLX,2025-09-16,-0.64,0.2584
HOLX,2025-10-15,1.13,0.3757
HOLX,2025-09-16,0.38,0.4585
HON,2025-10-15,2.54,0.4995
HON,2025-09-16,-0.3,0.1562
HOOD,2025-10-15,0.48,0.1457
HOOD,2025-09-16,1.12,
HPE,2025-10-15,1.9,0.2241
HPE,2025-09-16,-1.14,0.5615
HPQ,2025-10-15,2.28,-0.145
HPQ,2025-09-16,-1.13,-0.0342
HRL,2025-10-15,-0.9,0.64
HRL,2025-09-16,0.79,-0.5359
HSIC,2025-10-15,-1.5,0.7693
HSIC,2025-09-16,-1.08,0.2168
HST,2025-10-15,1.27,0.3168
HST,2025-09-16,-1.77,0.3187
HSY,2025-10-15,-0.42,0.549
HSY,2025-09-16,-0.83,0.2677
HUBB,2025-10-15,1.23,0.6377
HUBB,2025-09-16,-2.42,0.169
HUM,2025-10-15,0.25,-0.147
HUM,2025-09-16,0.57,-0.0361
HWM,2025-10-15,1.79,0.7501
HWM,2025-09-16,-1.14,0.6358
HYG,2025-10-15,1.02,0.2542
HYG,2025-09-16,0.53,1.6342
IBKR,2025-10-15,0.52,0.2612
IBKR,2025-09-16,-0.69,0.2499
IBM,2025-10-15,1.28,0.4158
IBM,2025-09-16,-1.08,0.3949
ICE,2025-10-15,0.87,0.3648
ICE,2025-09-16,0.05,0.2436
ICL,2025-10-15,2.28,
ICL,2025-09-16,-1.6,1.7453
IDXX,2025-10-15,0.98,0.6628
IDXX,2025-09-16,-1.09,0.4023
IEF,2025-10-15,-0.66,0.5896
IEF,2025-09-16,-0.35,0.2114
IEX,2025-10-15,-1.35,0.4527
IEX,2025-09-16,-0.99,0.086
IFF,2025-10-15,0.48,0.8813
IFF,2025-09-16,-1.26,0.407
INCY,2025-10-15,-0.02,0.8505
INCY,2025-09-16,-1.11,0.6027
INDA,2025-10-15,1.05,0.1217
INDA,2025-09-16,0.03,0.2826
INTC,2025-10-15,0.82,-0.1975
INTC,2025-09-16,-1.93,0.0866
INTU,2025-10-15,-0.1,0.6571
INTU,2025-09-16,-1.6,0.1645
INVH,2025-10-15,-1.49,0.9201
INVH,2025-09-16,0.84,0.1912
IP,2025-10-15,0.35,1.065
IP,2025-09-16,-1.02,0.4693
IPG,2025-10-15,0.99,-0.0267
IPG,2025-09-16,-0.28,0.0452
IQV,2025-10-15,0.72,0.0768
IQV,2025-09-16,-0.25,0.072
IR,2025-10-15,0.12,0.4286
IR,2025-09-16,-1.04,0.1267
IRM,2025-10-15,-1.45,0.2599
IRM,2025-09-16,-0.99,-0.0495
ISRG,2025-10-15,-1.57,0.8154
ISRG,2025-09-16,1.46,0.1277
IT,2025-10-15,-0.97,0.6927
IT,2025-09-16,-1.14,-0.0868
ITW,2025-10-15,-0.37,0.7931
ITW,2025-09-16,-1.98,0.1365
IVZ,2025-10-15,1.98,0.5066
IVZ,2025-09-16,-1.59,0.4442
IWD,2025-10-15,1.64,0.3016
IWD,2025-09-16,-0.59,-0.006
IWF,2025-10-15,2.0,0.3175
IWF,2025-09-16,-1.08,0.3463
IWM,2025-10-15,1.69,0.1256
IWM,2025-09-16,-1.63,0.2035
J,2025-10-15,2.54,0.382
J,2025-09-16,-1.36,0.0395
JBHT,2025-10-15,0.58,1.4801
JBHT,2025-09-16,0.47,0.055
JBL,2025-10-15,1.28,-0.1864
JBL,2025-09-16,-1.71,0.7771
JCI,2025-10-15,2.0,1.0469
JCI,2025-09-16,-0.75,0.4328
JKHY,2025-10-15,0.7,0.4925
JKHY,2025-09-16,-1.97,0.0157
JNJ,2025-10-15,-0.2,0.2861
JNJ,2025-09-16,-0.89,0.5743
JPM,2025-10-15,0.41,0.4052
JPM,2025-09-16,0.12,0.5581
K,2025-10-15,0.69,-0.3341
K,2025-09-16,1.91,0.2884
KDP,2025-10-15,-0.61,0.4355
KDP,2025-09-16,0.51,-0.439
KEY,2025-10-15,1.91,0.2823
KEY,2025-09-16,-1.16,0.1958
KEYS,2025-10-15,1.95,0.2368
KEYS,2025-09-16,-2.29,0.1087
KHC,2025-10-15,-1.01,0.4621
KHC,2025-09-16,0.86,-0.2674
KIM,2025-10-15,1.42,0.106
KIM,2025-09-16,-1.46,0.1562
KKR,2025-10-15,1.43,0.0696
KKR,2025-09-16,-0.68,0.2866
KLAC,2025-10-15,2.22,-0.0884
KLAC,2025-09-16,-3.75,0.3773
KMB,2025-10-15,-1.2,0.5977
