Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-02-09,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,-34.0,-60.0,-26.0
2026-02-09,CANE,TEUCRIUM:SUGAR,,Commodities,-71.0,-24.0,47.0
2026-02-09,CARR,CARRIER GLOBAL ,Industrials,Industrials,8.0,-27.0,-35.0
2026-02-09,CAT,CATERPILLAR INC.,Industrials,Industrials,-27.0,-26.0,1.0
2026-02-09,CB,CHUBB LTD,Financials,Financials,-76.0,-79.0,-3.0
2026-02-09,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,13.0,-36.0,-49.0
2026-02-09,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,8.0,3.0,-5.0
2026-02-09,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,-10.0,28.0,38.0
2026-02-09,CCJ,CAMECO ,,MR Discretion,92.0,26.0,-66.0
2026-02-09,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,-39.0,-1.0,38.0
2026-02-09,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,-4.0,21.0,25.0
2026-02-09,CDW,CDW ,Information Technology,Information Technology,-72.0,-68.0,4.0
2026-02-09,CEG,CONSTELLATION ENERGY,Utilities,Utilities,10.0,24.0,14.0
2026-02-09,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,4.0,-16.0,-20.0
2026-02-09,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,-8.0,-5.0,3.0
2026-02-09,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,-58.0,-60.0,-2.0
2026-02-09,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,54.0,28.0,-26.0
2026-02-09,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,-14.0,-24.0,-10.0
2026-02-09,CI,THE CIGNA GROUP,Health Care,Health Care,-40.0,-38.0,2.0
2026-02-09,CIEN,CIENA CORPORATION,Information Technology,Information Technology,-13.0,22.0,35.0
2026-02-09,CINF,CINCINNATI FINANCIAL ,Financials,Financials,-37.0,11.0,48.0
2026-02-09,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,-30.0,-80.0,-50.0
2026-02-09,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,44.0,-2.0,-46.0
2026-02-09,CMBT,CMB.TECH NV,,MR Discretion,10.0,-20.0,-30.0
2026-02-09,CMCSA,COMCAST ,Communication Services,Communication Services,11.0,-26.0,-37.0
2026-02-09,CME,CME GROUP INC.,Financials,Financials,-33.0,-56.0,-23.0
2026-02-09,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,-21.0,-44.0,-23.0
2026-02-09,CMI,CUMMINS INC.,Industrials,Industrials,90.0,32.0,-58.0
2026-02-09,CMRE,COSTAMARE INC.,,MR Discretion,83.0,50.0,-33.0
2026-02-09,CMS,CMS ENERGY ,Utilities,Utilities,-50.0,-50.0,0.0
2026-02-09,CNC,CENTENE ,Health Care,Health Care,42.0,18.0,-24.0
2026-02-09,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,26.0,14.0,-12.0
2026-02-09,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,-6.0,-18.0,-12.0
2026-02-09,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,28.0,28.0,-0.0
2026-02-09,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,-42.0,-53.0,-11.0
2026-02-09,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,58.0,15.0,-43.0
2026-02-09,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,7.0,2.0,-5.0
2026-02-09,COP,CONOCOPHILLIPS,Energy,Energy,-28.0,-54.0,-26.0
2026-02-09,COR,"CENCORA, INC.",Health Care,Health Care,-23.0,-30.0,-7.0
2026-02-09,CORN,TEUCRIUM:CORN,,Commodities,20.0,11.0,-9.0
2026-02-09,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,-7.0,-40.0,-33.0
2026-02-09,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,-44.0,-64.0,-20.0
2026-02-09,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,Consumer Staples,-50.0,-70.0,-20.0
2026-02-09,CPER,UNITED STATES COPPER IDX,,Commodities,-34.0,29.0,63.0
2026-02-09,CPRT,"COPART, INC.",Industrials,Industrials,14.0,-14.0,-28.0
2026-02-09,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,19.0,10.0,-9.0
2026-02-09,CRESY,CRESUD INC.,,MR Discretion,62.0,13.0,-49.0
2026-02-09,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,-40.0,-6.0,34.0
2026-02-09,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,60.0,36.0,-24.0
2026-02-09,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,46.0,20.0,-26.0
2026-02-09,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,42.0,33.0,-9.0
2026-02-09,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,-47.0,-30.0,17.0
2026-02-09,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,-38.0,0.0,38.0
2026-02-09,CSX,CSX ,Industrials,Industrials,-8.0,-35.0,-27.0
2026-02-09,CTAS,CINTAS ,Industrials,Industrials,-13.0,-34.0,-21.0
2026-02-09,CTRA,COTERRA ENERGY INC.,Energy,Energy,-22.0,-30.0,-8.0
2026-02-09,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,53.0,66.0,13.0
2026-02-09,CTVA,"CORTEVA, INC.",Materials,Materials,-1.0,-6.0,-5.0
2026-02-09,CVNA,CARVANA CO.,Consumer Discretionary,Consumer Discretionary,70.0,85.0,15.0
2026-02-09,CVS,CVS HEALTH ,Health Care,Health Care,23.0,46.0,23.0
2026-02-09,CVX,CHEVRON ,Energy,Energy,4.0,-33.0,-37.0
2026-02-09,D,"DOMINION ENERGY, INC.",Utilities,Utilities,-38.0,-8.0,30.0
2026-02-09,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,-37.0,-21.0,16.0
2026-02-09,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,-71.0,-59.0,12.0
2026-02-09,DBA,INVESCO DB MS AGRI,,Commodities,8.0,-5.0,-13.0
2026-02-09,DBB,INVESCO DB MS BMTL,,Commodities,18.0,69.0,51.0
2026-02-09,DBC,INVESCO DB CM IDX,,Commodities,23.0,7.0,-16.0
2026-02-09,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,74.0,42.0,-32.0
2026-02-09,DDOG,"DATADOG, INC.",Information Technology,Information Technology,34.0,38.0,4.0
2026-02-09,DE,DEERE & COMPANY,Industrials,Industrials,6.0,-54.0,-60.0
2026-02-09,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,26.0,-10.0,-36.0
2026-02-09,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,-28.0,-14.0,14.0
2026-02-09,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,-4.0,34.0,38.0
2026-02-09,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,21.0,-14.0,-35.0
2026-02-09,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,7.0,-15.0,-22.0
2026-02-09,DHR,DANAHER ,Health Care,Health Care,42.0,53.0,11.0
2026-02-09,DHT,"DHT HOLDINGS, INC.",,MR Discretion,39.0,-40.0,-79.0
2026-02-09,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,-20.0,-44.0,-24.0
2026-02-09,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,-10.0,-13.0,-3.0
2026-02-09,DJI,DOW JONES INDUSTRIAL AVG INDEX,,Indices,-16.0,-55.0,-39.0
2026-02-09,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,-26.0,-43.0,-17.0
2026-02-09,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,10.0,20.0,10.0
2026-02-09,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,61.0,35.0,-26.0
2026-02-09,DOV,DOVER ,Industrials,Industrials,-84.0,-81.0,3.0
2026-02-09,DOW,DOW INC.,Materials,Materials,13.0,-43.0,-56.0
2026-02-09,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,-35.0,3.0,38.0
2026-02-09,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,22.0,-36.0,-58.0
2026-02-09,DTE,DTE ENERGY COMPANY,Utilities,Utilities,37.0,25.0,-12.0
2026-02-09,DUK,DUKE ENERGY ,Utilities,Utilities,34.0,-6.0,-40.0
2026-02-09,DVA,DAVITA INC.,Health Care,Health Care,-73.0,-50.0,23.0
2026-02-09,DVN,DEVON ENERGY ,Energy,Energy,-50.0,-56.0,-6.0
2026-02-09,DXCM,"DEXCOM, INC.",Health Care,Health Care,23.0,-10.0,-33.0
2026-02-09,DXY,US DOLLAR INDEX,USD,Indices,31.0,28.0,-3.0
2026-02-09,EA,ELECTRONIC ARTS INC.,Communication Services,Communication Services,89.0,47.0,-42.0
2026-02-09,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,-37.0,0.0,37.0
2026-02-09,EC,ECOPETROL SA,,MR Discretion,62.0,11.0,-51.0
2026-02-09,ECH,ISHARES:MSCI CHILE,,Foreign,10.0,43.0,33.0
2026-02-09,ECL,ECOLAB INC.,Materials,Materials,-10.0,-40.0,-30.0
2026-02-09,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,44.0,1.0,-43.0
2026-02-09,EDEN,ISHARES:MSCI DENMARK,,Foreign,68.0,37.0,-31.0
2026-02-09,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,-2.0,6.0,8.0
2026-02-09,EFNL,ISHARES:MSCI FINLAND,,Foreign,23.0,15.0,-8.0
2026-02-09,EFX,EQUIFAX INC.,Industrials,Industrials,-34.0,-9.0,25.0
2026-02-09,EG,"EVEREST GROUP, LTD.",Financials,Financials,3.0,36.0,33.0
2026-02-09,EIDO,ISHARES:MSCI INDONESIA,,Foreign,51.0,53.0,2.0
2026-02-09,EIRL,ISHARES:MSCI IRELAND,,Foreign,-8.0,-18.0,-10.0
2026-02-09,EIS,ISHARES:MSCI ISRAEL,,Foreign,66.0,27.0,-39.0
2026-02-09,EIX,EDISON INTERNATIONAL,Utilities,Utilities,-21.0,-58.0,-37.0
2026-02-09,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,58.0,56.0,-2.0
2026-02-09,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,73.0,65.0,-8.0
2026-02-09,EME,"EMCOR GROUP, INC.",Industrials,Industrials,-7.0,-27.0,-20.0
2026-02-09,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,30.0,-37.0,-67.0
2026-02-09,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,32.0,13.0,-19.0
2026-02-09,EOG,"EOG RESOURCES, INC.",Energy,Energy,-30.0,-29.0,1.0
2026-02-09,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,29.0,35.0,6.0
2026-02-09,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,26.0,-18.0,-44.0
2026-02-09,EPOL,ISHARES:MSCI POLAND,,Foreign,-27.0,22.0,49.0
2026-02-09,EPU,ISHARES:MSCI PERU,,Foreign,37.0,59.0,22.0
2026-02-09,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,16.0,-17.0,-33.0
2026-02-09,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,-64.0,-102.0,-38.0
2026-02-09,EQT,EQT ,Energy,Energy,25.0,18.0,-7.0
2026-02-09,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,-42.0,-56.0,-14.0
2026-02-09,ES,EVERSOURCE ENERGY,Utilities,Utilities,-32.0,-7.0,25.0
2026-02-09,ES=F,E-MINI S&P 500 FUTURES,,Futures,30.0,-9.0,-39.0
2026-02-09,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,-71.0,-84.0,-13.0
2026-02-09,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,-12.0,-35.0,-23.0
2026-02-09,ETR,ENTERGY ,Utilities,Utilities,-32.0,-7.0,25.0
2026-02-09,EVRG,"EVERGY, INC.",Utilities,Utilities,38.0,22.0,-16.0
2026-02-09,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,-3.0,36.0,39.0
2026-02-09,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,41.0,-2.0,-43.0
2026-02-09,EWC,ISHARES:MSCI CANADA,,Foreign,26.0,17.0,-9.0
2026-02-09,EWD,ISHARES:MSCI SWEDEN,,Foreign,-1.0,-31.0,-30.0
2026-02-09,EWG,ISHARES:MSCI GERMANY,,Foreign,-29.0,6.0,35.0
2026-02-09,EWH,ISHARES:MSCI HONG KONG,,Foreign,57.0,14.0,-43.0
2026-02-09,EWI,ISHARES:MSCI ITALY,,Foreign,-18.0,-21.0,-3.0
2026-02-09,EWJ,ISHARES:MSCI JAPAN,,Foreign,-36.0,-79.0,-43.0
2026-02-09,EWK,ISHARES:MSCI BELGIUM,,Foreign,10.0,-16.0,-26.0
