Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2025-12-16,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,0.4,78.2,77.8
2025-12-16,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,52.6,99.8,47.2
2025-12-16,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,21.8,45.8,24.0
2025-12-16,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,-38.2,18.1,56.3
2025-12-16,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,-2.0,97.6,99.6
2025-12-16,COP,CONOCOPHILLIPS,Energy,Energy,5.9,68.8,62.9
2025-12-16,COR,"CENCORA, INC.",Health Care,Health Care,-70.3,9.3,79.6
2025-12-16,CORN,TEUCRIUM:CORN,,Commodities,-43.9,20.6,64.5
2025-12-16,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,-28.2,18.8,47.0
2025-12-16,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,1.8,96.4,94.6
2025-12-16,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,Consumer Staples,-33.5,38.5,72.0
2025-12-16,CPER,UNITED STATES COPPER IDX,,Commodities,24.2,74.8,50.6
2025-12-16,CPRT,"COPART, INC.",Industrials,Industrials,1.4,37.9,36.5
2025-12-16,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,-12.9,80.6,93.5
2025-12-16,CRESY,CRESUD INC.,,MR Discretion,-22.2,36.9,59.1
2025-12-16,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,49.8,98.2,48.4
2025-12-16,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,72.3,92.5,20.2
2025-12-16,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,-5.2,12.1,17.3
2025-12-16,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,-34.3,34.7,69.0
2025-12-16,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,-6.8,33.1,39.9
2025-12-16,CSX,CSX ,Industrials,Industrials,47.4,89.1,41.7
2025-12-16,CTAS,CINTAS ,Industrials,Industrials,10.5,66.5,56.0
2025-12-16,CTRA,COTERRA ENERGY INC.,Energy,Energy,-56.9,38.5,95.4
2025-12-16,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,13.9,96.6,82.7
2025-12-16,CTVA,"CORTEVA, INC.",Materials,Materials,-23.4,60.7,84.1
2025-12-16,CVS,CVS HEALTH ,Health Care,Health Care,-21.2,36.7,57.9
2025-12-16,CVX,CHEVRON ,Energy,Energy,-24.0,5.8,29.8
2025-12-16,D,"DOMINION ENERGY, INC.",Utilities,Utilities,-70.3,19.4,89.7
2025-12-16,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,16.3,99.8,83.5
2025-12-16,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,59.2,66.1,6.9
2025-12-16,DAY,CERIDIAN HCM HOLDING INC.,Industrials,Industrials,-11.7,1.0,12.7
2025-12-16,DBA,INVESCO DB MS AGRI,,Commodities,-27.8,35.9,63.7
2025-12-16,DBB,INVESCO DB MS BMTL,,Commodities,39.1,84.7,45.6
2025-12-16,DBC,INVESCO DB CM IDX,,Commodities,-42.6,17.7,60.3
2025-12-16,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,48.8,74.4,25.6
2025-12-16,DDOG,"DATADOG, INC.",Information Technology,Information Technology,-45.8,2.4,48.2
2025-12-16,DE,DEERE & COMPANY,Industrials,Industrials,14.7,67.9,53.2
2025-12-16,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,19.0,99.8,80.8
2025-12-16,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,61.9,67.7,5.8
2025-12-16,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,11.7,99.4,87.7
2025-12-16,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,-83.1,12.1,95.2
2025-12-16,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,11.1,90.1,79.0
2025-12-16,DHR,DANAHER ,Health Care,Health Care,-29.4,57.9,87.3
2025-12-16,DHT,"DHT HOLDINGS, INC.",,MR Discretion,-29.9,4.6,34.5
2025-12-16,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,31.8,79.2,47.4
2025-12-16,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,40.4,83.9,43.5
2025-12-16,DJI,DOW JONES INDUSTRIAL AVERAGE INDEX,,Indices,32.0,78.4,46.4
2025-12-16,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,10.5,26.0,15.5
2025-12-16,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,17.4,98.6,81.2
2025-12-16,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,-59.9,21.6,81.5
2025-12-16,DOV,DOVER ,Industrials,Industrials,28.8,93.1,64.3
2025-12-16,DOW,DOW INC.,Materials,Materials,11.1,88.1,77.0
2025-12-16,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,17.5,93.3,75.8
2025-12-16,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,37.3,94.2,56.9
2025-12-16,DTE,DTE ENERGY COMPANY,Utilities,Utilities,-36.1,1.0,37.1
2025-12-16,DUK,DUKE ENERGY ,Utilities,Utilities,-17.4,6.2,23.6
