Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2025-10-17,UBER,"UBER TECHNOLOGIES, INC.",Industrials,Industrials,25.0,41.0,16.0
2025-10-17,UDR,"UDR, INC.",Real Estate,Real Estate,-38.0,-10.0,28.0
2025-10-17,UHS,"UNIVERSAL HEALTH SERVICES, INC.",Health Care,Health Care,-8.0,11.0,19.0
2025-10-17,ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,Consumer Discretionary,8.0,48.0,40.0
2025-10-17,UNG,UNITED STATES NAT GAS,Energy Complex,Commodities,0.0,-5.0,-5.0
2025-10-17,UNH,UNITEDHEALTH GROUP INC.,Health Care,Health Care,10.0,-39.0,-49.0
2025-10-17,UNP,UNION PACIFIC ,Industrials,Industrials,9.0,-21.0,-30.0
2025-10-17,UPS,"UNITED PARCEL SERVICE, INC.",Industrials,Industrials,0.0,-0.0,-0.0
2025-10-17,URI,"UNITED RENTALS, INC.",Industrials,Industrials,-3.0,55.0,58.0
2025-10-17,URNM,SPROTT URANIUM MINERS,,MR Discretion,18.0,6.0,-12.0
2025-10-17,USB,U.S. BANCORP,Financials,Financials,0.0,43.0,43.0
2025-10-17,USO,UNITED STATES OIL FUND,Energy Complex,Commodities,-27.0,-1.0,26.0
2025-10-17,UUP,INVESCO DB USD IDX BL,USD,Currencies,23.0,-73.0,-96.0
2025-10-17,V,VISA INC.,Financials,Financials,43.0,19.0,-24.0
2025-10-17,VAL,VALARIS LIMITED,,MR Discretion,-65.0,-42.0,23.0
2025-10-17,VICI,VICI PROPERTIES INC.,Real Estate,Real Estate,22.0,12.0,-10.0
2025-10-17,VIX,CBOE MKT VOLATILITY IDX,,Volatility,3.0,-37.0,-40.0
2025-10-17,VLO,VALERO ENERGY ,Energy,Energy,4.0,23.0,19.0
2025-10-17,VLTO,VERALTO ,Industrials,Industrials,30.0,14.0,-16.0
2025-10-17,VMC,VULCAN MATERIALS COMPANY,Materials,Materials,21.0,15.0,-6.0
2025-10-17,VNM,VANECK:VIETNAM,,Foreign,0.0,-1.0,-1.0
