Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-05-01,MCO,42.9,49.7,68.8,30.6
2025-06-01,MCO,34.5,49.7,68.8,30.6
2025-07-01,MCO,40.4,49.7,68.8,30.6
2025-08-01,MCO,27.0,49.7,68.8,30.6
2025-09-01,MCO,50.5,49.7,68.8,30.6
2025-10-01,MCO,31.1,49.7,68.8,30.6
2025-11-01,MCO,32.6,49.7,68.8,30.6
2025-12-01,MCO,48.9,49.7,68.8,30.6
2026-01-01,MCO,50.3,49.7,68.8,30.6
2026-02-01,MCO,112.3,49.7,68.8,30.6
2024-11-01,MDLZ,5.8,6.0,8.2,3.8
2024-12-01,MDLZ,6.4,6.0,8.2,3.8
2025-01-01,MDLZ,4.3,6.0,8.2,3.8
2025-02-01,MDLZ,12.3,6.0,8.2,3.8
2025-03-01,MDLZ,7.1,6.0,8.2,3.8
2025-04-01,MDLZ,6.0,6.0,8.2,3.8
2025-05-01,MDLZ,5.2,6.0,8.2,3.8
2025-06-01,MDLZ,3.1,6.0,8.2,3.8
2025-07-01,MDLZ,7.0,6.0,8.2,3.8
2025-08-01,MDLZ,6.0,6.0,8.2,3.8
2025-09-01,MDLZ,5.6,6.0,8.2,3.8
2025-10-01,MDLZ,6.8,6.0,8.2,3.8
2025-11-01,MDLZ,2.8,6.0,8.2,3.8
2025-12-01,MDLZ,4.2,6.0,8.2,3.8
2026-01-01,MDLZ,9.0,6.0,8.2,3.8
2026-02-01,MDLZ,3.4,6.0,8.2,3.8
2024-11-01,MDT,8.5,8.8,11.7,5.8
2024-12-01,MDT,7.6,8.8,11.7,5.8
2025-01-01,MDT,13.4,8.8,11.7,5.8
2025-02-01,MDT,8.0,8.8,11.7,5.8
2025-03-01,MDT,9.3,8.8,11.7,5.8
2025-04-01,MDT,10.0,8.8,11.7,5.8
2025-05-01,MDT,8.4,8.8,11.7,5.8
2025-06-01,MDT,6.6,8.8,11.7,5.8
2025-07-01,MDT,6.4,8.8,11.7,5.8
2025-08-01,MDT,6.9,8.8,11.7,5.8
2025-09-01,MDT,4.6,8.8,11.7,5.8
2025-10-01,MDT,9.3,8.8,11.7,5.8
2025-11-01,MDT,17.3,8.8,11.7,5.8
2025-12-01,MDT,9.8,8.8,11.7,5.8
2026-01-01,MDT,7.9,8.8,11.7,5.8
2026-02-01,MDT,4.6,8.8,11.7,5.8
