Date,Ticker,Ticker_name,Exposure,Category,model_score
2025-11-07,DDOG,"DATADOG, INC.",Information Technology,Information Technology,-23.0
2025-11-07,DE,DEERE & COMPANY,Industrials,Industrials,-7.0
2025-11-07,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,-22.0
2025-11-07,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,-5.0
2025-11-07,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,24.0
2025-11-07,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,-31.0
2025-11-07,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,-3.0
2025-11-07,DHR,DANAHER ,Health Care,Health Care,-4.0
2025-11-07,DHT,"DHT HOLDINGS, INC.",,MR Discretion,-65.0
2025-11-07,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,3.0
2025-11-07,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,3.0
2025-11-07,DJI,DOW JONES INDUSTRIAL AVERAGE INDEX,,Indices,-12.0
2025-11-07,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,3.0
2025-11-07,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,-23.0
2025-11-07,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,24.0
2025-11-07,DOV,DOVER ,Industrials,Industrials,-65.0
2025-11-07,DOW,DOW INC.,Materials,Materials,-86.0
2025-11-07,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,12.0
2025-11-07,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,-17.0
2025-11-07,DTE,DTE ENERGY COMPANY,Utilities,Utilities,59.0
2025-11-07,DUK,DUKE ENERGY ,Utilities,Utilities,47.0
2025-11-07,DVA,DAVITA INC.,Health Care,Health Care,20.0
2025-11-07,DVN,DEVON ENERGY ,Energy,Energy,-3.0
2025-11-07,DXCM,"DEXCOM, INC.",Health Care,Health Care,-0.0
2025-11-07,EA,ELECTRONIC ARTS INC.,Communication Services,Communication Services,-15.0
2025-11-07,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,0.0
2025-11-07,EC,ECOPETROL SA,,MR Discretion,1.0
2025-11-07,ECH,ISHARES:MSCI CHILE,,Foreign,10.0
2025-11-07,ECL,ECOLAB INC.,Materials,Materials,18.0
2025-11-07,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,30.0
2025-11-07,EDEN,ISHARES:MSCI DENMARK,,Foreign,-25.0
2025-11-07,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,33.0
2025-11-07,EFNL,ISHARES:MSCI FINLAND,,Foreign,16.0
2025-11-07,EFX,EQUIFAX INC.,Industrials,Industrials,19.0
2025-11-07,EG,"EVEREST GROUP, LTD.",Financials,Financials,-17.0
2025-11-07,EIDO,ISHARES:MSCI INDONESIA,,Foreign,15.0
2025-11-07,EIRL,ISHARES:MSCI IRELAND,,Foreign,-64.0
2025-11-07,EIS,ISHARES:MSCI ISRAEL,,Foreign,59.0
2025-11-07,EIX,EDISON INTERNATIONAL,Utilities,Utilities,-37.0
2025-11-07,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,-7.0
2025-11-07,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,-21.0
2025-11-07,EME,"EMCOR GROUP, INC.",Industrials,Industrials,39.0
2025-11-07,EMN,EASTMAN CHEMICAL COMPANY,Materials,Materials,-33.0
2025-11-07,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,52.0
2025-11-07,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,-5.0
2025-11-07,EOG,"EOG RESOURCES, INC.",Energy,Energy,22.0
2025-11-07,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,-9.0
