Date,Ticker,weekly_return_pct,weekly_return_avg_pct,weekly_return_hi_pct,weekly_return_lo_pct
2025-12-01,CPB,-0.0289,-0.0289,-0.0289,-0.0289
2025-12-01,CPER,0.0331,0.0331,0.0331,0.0331
2025-12-01,CPRT,-0.0067,-0.0067,-0.0067,-0.0067
2025-12-01,CPT,-0.0231,-0.0231,-0.0231,-0.0231
2025-12-01,CRESY,-0.0369,-0.0369,-0.0369,-0.0369
2025-12-01,CRL,0.0346,0.0346,0.0346,0.0346
2025-12-01,CRM,0.1303,0.1303,0.1303,0.1303
2025-12-01,CRWD,0.0056,0.0056,0.0056,0.0056
2025-12-01,CSCO,0.0134,0.0134,0.0134,0.0134
2025-12-01,CSGP,-0.0115,-0.0115,-0.0115,-0.0115
2025-12-01,CSX,0.0266,0.0266,0.0266,0.0266
2025-12-01,CTAS,0.0039,0.0039,0.0039,0.0039
2025-12-01,CTRA,0.0205,0.0205,0.0205,0.0205
2025-12-01,CTSH,0.0387,0.0387,0.0387,0.0387
2025-12-01,CTVA,-0.0218,-0.0218,-0.0218,-0.0218
2025-12-01,CVS,-0.0589,-0.0589,-0.0589,-0.0589
2025-12-01,CVX,-0.0075,-0.0075,-0.0075,-0.0075
2025-12-01,D,-0.0682,-0.0682,-0.0682,-0.0682
2025-12-01,DAL,0.0468,0.0468,0.0468,0.0468
2025-12-01,DASH,0.1342,0.1342,0.1342,0.1342
2025-12-01,DAY,-0.0004,-0.0004,-0.0004,-0.0004
2025-12-01,DBA,0.0038,0.0038,0.0038,0.0038
2025-12-01,DBB,0.0205,0.0205,0.0205,0.0205
2025-12-01,DBC,0.0117,0.0117,0.0117,0.0117
2025-12-01,DD,0.0186,0.0186,0.0186,0.0186
2025-12-01,DDOG,-0.0537,-0.0537,-0.0537,-0.0537
2025-12-01,DE,0.0229,0.0229,0.0229,0.0229
2025-12-01,DECK,0.1326,0.1326,0.1326,0.1326
2025-12-01,DELL,0.0417,0.0417,0.0417,0.0417
2025-12-01,DG,0.209,0.209,0.209,0.209
2025-12-01,DGX,-0.0353,-0.0353,-0.0353,-0.0353
2025-12-01,DHI,-0.0025,-0.0025,-0.0025,-0.0025
2025-12-01,DHR,-0.0023,-0.0023,-0.0023,-0.0023
2025-12-01,DHT,-0.0207,-0.0207,-0.0207,-0.0207
2025-12-01,DIA,0.006,0.006,0.006,0.006
2025-12-01,DIS,0.0079,0.0079,0.0079,0.0079
2025-12-01,DJI,0.005,0.005,0.005,0.005
2025-12-01,DLR,0.0288,0.0288,0.0288,0.0288
2025-12-01,DLTR,0.105,0.105,0.105,0.105
2025-12-01,DOC,-0.0679,-0.0679,-0.0679,-0.0679
2025-12-01,DOV,0.0314,0.0314,0.0314,0.0314
2025-12-01,DOW,-0.0373,-0.0373,-0.0373,-0.0373
2025-12-01,DPZ,-0.0073,-0.0073,-0.0073,-0.0073
2025-12-01,DRI,-0.0104,-0.0104,-0.0104,-0.0104
2025-12-01,DTE,-0.0423,-0.0423,-0.0423,-0.0423
2025-12-01,DUK,-0.0599,-0.0599,-0.0599,-0.0599
2025-12-01,DVA,-0.0191,-0.0191,-0.0191,-0.0191
2025-12-01,DVN,0.0111,0.0111,0.0111,0.0111
2025-12-01,DXCM,0.0318,0.0318,0.0318,0.0318
2025-12-01,EA,0.0094,0.0094,0.0094,0.0094
2025-12-01,EBAY,-0.0039,-0.0039,-0.0039,-0.0039
2025-12-01,EC,0.0071,0.0071,0.0071,0.0071
2025-12-01,ECH,0.0085,0.0085,0.0085,0.0085
2025-12-01,ECL,-0.0562,-0.0562,-0.0562,-0.0562
2025-12-01,ED,-0.0375,-0.0375,-0.0375,-0.0375
2025-12-01,EDEN,0.0081,0.0081,0.0081,0.0081
2025-12-01,EDV,-0.0289,-0.0289,-0.0289,-0.0289
2025-12-01,EFNL,0.015,0.015,0.015,0.015
2025-12-01,EFX,-0.0041,-0.0041,-0.0041,-0.0041
2025-12-01,EG,-0.0137,-0.0137,-0.0137,-0.0137
2025-12-01,EIDO,0.008,0.008,0.008,0.008
2025-12-01,EIRL,-0.0058,-0.0058,-0.0058,-0.0058
2025-12-01,EIS,0.0364,0.0364,0.0364,0.0364
2025-12-01,EIX,-0.0136,-0.0136,-0.0136,-0.0136
2025-12-01,EL,0.1176,0.1176,0.1176,0.1176
2025-12-01,ELV,-0.0222,-0.0222,-0.0222,-0.0222
2025-12-01,EME,0.0139,0.0139,0.0139,0.0139
2025-12-01,EMN,-0.0089,-0.0089,-0.0089,-0.0089
2025-12-01,EMR,0.0301,0.0301,0.0301,0.0301
2025-12-01,ENZL,0.0081,0.0081,0.0081,0.0081
2025-12-01,EOG,0.0401,0.0401,0.0401,0.0401
2025-12-01,EPAM,0.0888,0.0888,0.0888,0.0888
2025-12-01,EPHE,-0.019,-0.019,-0.019,-0.019
2025-12-01,EPOL,-0.0185,-0.0185,-0.0185,-0.0185
2025-12-01,EPU,0.0397,0.0397,0.0397,0.0397
2025-12-01,EQIX,-0.0156,-0.0156,-0.0156,-0.0156
2025-12-01,EQR,-0.0112,-0.0112,-0.0112,-0.0112
2025-12-01,EQT,-0.003,-0.003,-0.003,-0.003
2025-12-01,ERIE,0.0033,0.0033,0.0033,0.0033
2025-12-01,ES,-0.0066,-0.0066,-0.0066,-0.0066
2025-12-01,ES=F,0.0029,0.0029,0.0029,0.0029
2025-12-01,ESS,-0.0313,-0.0313,-0.0313,-0.0313
2025-12-01,ETN,-0.0238,-0.0238,-0.0238,-0.0238
2025-12-01,ETR,-0.0338,-0.0338,-0.0338,-0.0338
2025-12-01,EVRG,-0.0563,-0.0563,-0.0563,-0.0563
2025-12-01,EW,-0.0055,-0.0055,-0.0055,-0.0055
2025-12-01,EWA,0.019,0.019,0.019,0.019
2025-12-01,EWC,0.0112,0.0112,0.0112,0.0112
2025-12-01,EWD,0.0096,0.0096,0.0096,0.0096
2025-12-01,EWG,0.012,0.012,0.012,0.012
2025-12-01,EWH,-0.0085,-0.0085,-0.0085,-0.0085
2025-12-01,EWI,0.0009,0.0009,0.0009,0.0009
2025-12-01,EWJ,0.0083,0.0083,0.0083,0.0083
2025-12-01,EWK,0.0031,0.0031,0.0031,0.0031
2025-12-01,EWL,0.0036,0.0036,0.0036,0.0036
2025-12-01,EWM,0.0079,0.0079,0.0079,0.0079
2025-12-01,EWN,0.0065,0.0065,0.0065,0.0065
2025-12-01,EWO,0.0167,0.0167,0.0167,0.0167
2025-12-01,EWP,0.0122,0.0122,0.0122,0.0122
2025-12-01,EWQ,0.0011,0.0011,0.0011,0.0011
2025-12-01,EWS,-0.0201,-0.0201,-0.0201,-0.0201
2025-12-01,EWT,0.013,0.013,0.013,0.013
2025-12-01,EWU,0.0016,0.0016,0.0016,0.0016
2025-12-01,EWW,0.0038,0.0038,0.0038,0.0038
2025-12-01,EWY,0.0377,0.0377,0.0377,0.0377
2025-12-01,EWZ,-0.0321,-0.0321,-0.0321,-0.0321
2025-12-01,EXC,-0.0702,-0.0702,-0.0702,-0.0702
2025-12-01,EXE,0.0076,0.0076,0.0076,0.0076
2025-12-01,EXPD,0.0311,0.0311,0.0311,0.0311
2025-12-01,EXPE,0.0303,0.0303,0.0303,0.0303
2025-12-01,EXR,-0.0271,-0.0271,-0.0271,-0.0271
2025-12-01,F,-0.0188,-0.0188,-0.0188,-0.0188
2025-12-01,FANG,0.0394,0.0394,0.0394,0.0394
2025-12-01,FAST,0.0272,0.0272,0.0272,0.0272
2025-12-01,FCX,0.0517,0.0517,0.0517,0.0517
2025-12-01,FDS,0.0482,0.0482,0.0482,0.0482
2025-12-01,FDX,-0.005,-0.005,-0.005,-0.005
2025-12-01,FE,-0.0589,-0.0589,-0.0589,-0.0589
2025-12-01,FFIV,0.0375,0.0375,0.0375,0.0375
2025-12-01,FICO,-0.004,-0.004,-0.004,-0.004
2025-12-01,FIS,0.0135,0.0135,0.0135,0.0135
2025-12-01,FISV,0.0783,0.0783,0.0783,0.0783
2025-12-01,FITB,0.0451,0.0451,0.0451,0.0451
2025-12-01,FOXA,0.0443,0.0443,0.0443,0.0443
2025-12-01,FRO,-0.006,-0.006,-0.006,-0.006
2025-12-01,FRT,-0.0155,-0.0155,-0.0155,-0.0155
2025-12-01,FSLR,-0.0561,-0.0561,-0.0561,-0.0561
2025-12-01,FTI,0.0168,0.0168,0.0168,0.0168
2025-12-01,FTNT,0.0714,0.0714,0.0714,0.0714
2025-12-01,FTV,0.005,0.005,0.005,0.005
2025-12-01,FVX,0.0319,0.0319,0.0319,0.0319
2025-12-01,FXA,0.013,0.013,0.013,0.013
2025-12-01,FXB,0.0058,0.0058,0.0058,0.0058
2025-12-01,FXC,0.0109,0.0109,0.0109,0.0109
2025-12-01,FXE,0.0031,0.0031,0.0031,0.0031
2025-12-01,FXY,0.0055,0.0055,0.0055,0.0055
2025-12-01,GD,-0.0126,-0.0126,-0.0126,-0.0126
2025-12-01,GDDY,0.0047,0.0047,0.0047,0.0047
2025-12-01,GDX,-0.0264,-0.0264,-0.0264,-0.0264
2025-12-01,GDXJ,-0.0238,-0.0238,-0.0238,-0.0238
2025-12-01,GE,-0.0486,-0.0486,-0.0486,-0.0486
2025-12-01,GEHC,0.0684,0.0684,0.0684,0.0684
2025-12-01,GEN,0.0273,0.0273,0.0273,0.0273
2025-12-01,GEOS,0.1207,0.1207,0.1207,0.1207
2025-12-01,GEV,0.0526,0.0526,0.0526,0.0526
2025-12-01,GGB,-0.0333,-0.0333,-0.0333,-0.0333
2025-12-01,GILD,-0.0367,-0.0367,-0.0367,-0.0367
