Date,Ticker,monthly_volume,monthly_volume_avg,monthly_volume_hi,monthly_volume_lo
2025-09-01,LDOS,18.4,24.4,32.3,16.4
2025-10-01,LDOS,6.3,24.4,32.3,16.4
2024-08-01,LEN,36.7,58.9,74.4,43.5
2024-09-01,LEN,42.1,58.9,74.4,43.5
2024-10-01,LEN,44.5,58.9,74.4,43.5
2024-11-01,LEN,37.7,58.9,74.4,43.5
2024-12-01,LEN,65.1,58.9,74.4,43.5
2025-01-01,LEN,71.4,58.9,74.4,43.5
2025-02-01,LEN,61.8,58.9,74.4,43.5
2025-03-01,LEN,70.6,58.9,74.4,43.5
2025-04-01,LEN,65.7,58.9,74.4,43.5
2025-05-01,LEN,51.3,58.9,74.4,43.5
2025-06-01,LEN,68.1,58.9,74.4,43.5
2025-07-01,LEN,69.7,58.9,74.4,43.5
2025-08-01,LEN,65.7,58.9,74.4,43.5
2025-09-01,LEN,89.0,58.9,74.4,43.5
2025-10-01,LEN,28.9,58.9,74.4,43.5
2024-08-01,LH,12.6,13.2,16.7,9.7
2024-09-01,LH,11.0,13.2,16.7,9.7
2024-10-01,LH,13.3,13.2,16.7,9.7
2024-11-01,LH,13.4,13.2,16.7,9.7
2024-12-01,LH,9.9,13.2,16.7,9.7
2025-01-01,LH,11.4,13.2,16.7,9.7
2025-02-01,LH,11.2,13.2,16.7,9.7
2025-03-01,LH,14.9,13.2,16.7,9.7
2025-04-01,LH,21.2,13.2,16.7,9.7
2025-05-01,LH,15.5,13.2,16.7,9.7
2025-06-01,LH,13.6,13.2,16.7,9.7
2025-07-01,LH,18.8,13.2,16.7,9.7
2025-08-01,LH,10.3,13.2,16.7,9.7
2025-09-01,LH,9.9,13.2,16.7,9.7
2025-10-01,LH,5.2,13.2,16.7,9.7
2024-08-01,LHX,15.1,23.8,31.2,16.4
2024-09-01,LHX,14.3,23.8,31.2,16.4
2024-10-01,LHX,16.2,23.8,31.2,16.4
2024-11-01,LHX,17.0,23.8,31.2,16.4
2024-12-01,LHX,22.0,23.8,31.2,16.4
2025-01-01,LHX,25.1,23.8,31.2,16.4
2025-02-01,LHX,27.6,23.8,31.2,16.4
2025-03-01,LHX,26.6,23.8,31.2,16.4
